Altitude (m),Airspeed (m/s)
4266.99912749324,0.0
4266.829911337234,1.6007699738564038
4266.528471662663,2.8193923807593615
4266.027592734434,4.157435190434512
4265.265144430101,5.58671324809857
4264.503459949978,6.7589762624947465
4263.357562372461,8.163623042716194
4262.078962911852,9.592084808371553
4260.68110424839,10.868696684762078
4258.9956182371825,12.27700520801972
4257.210620433092,13.633003023224973
4255.138123692013,14.97475916434162
4252.889823216014,16.381900387515124
4250.029212953523,17.991776189312056
4247.391442360356,19.34897430767585
4244.697460658848,20.677705443835272
4241.185432273895,22.237157159548826
4237.906685829163,23.631923966531648
4234.454861680977,25.006336016094956
4230.419205093756,26.50783273270467
4226.572436075658,27.863296025374172
4222.7047624392435,29.155546801186453
4217.745862715878,30.722260848326897
4213.487828979269,32.04029107495069
4208.091918016784,33.6403876576466
4203.410081385635,34.97333713411264
4197.6233081724495,36.50706993073788
4191.556765055284,38.08914685767975
4185.447729473934,39.5902669346288
4179.8272322183475,40.893215503148106
4173.455642551184,42.32433874361054
4167.4072023639455,43.65704097447634
4160.829003551975,45.06605537084563
4153.519519977272,46.64968548426585
4146.247653252445,48.1460577581221
4138.533708913252,49.679606338623444
4130.86034040153,51.167838196801156
4123.303100238554,52.56232995892222
4114.991274725646,54.0327966475639
4106.013569677249,55.56947482985916
4097.431991214864,57.01641257563963
4088.9619774715975,58.423696995777384
4079.7311962153763,59.914843346309276
4070.119416091591,61.438920498609335
4060.3439938267693,62.920205886142064
4049.8217827882618,64.53050076158584
4038.6724461764097,66.19617250132762
4028.7663222486153,67.6211529573272
4018.277224253863,69.08074095511229
4008.2800509370863,70.49093567220399
3996.5046969074756,72.0531544908692
3985.2612929977477,73.49942399202835
3973.0908826906234,75.0052958777311
3960.633755343966,76.58531510819212
3947.7851281790063,78.16074520106116
3934.201946269721,79.8222090313309
3918.428562251851,81.71909664242762
3905.0115027222782,83.3145127303954
3888.3250031480566,85.17278355468478
3871.558167227544,87.02604656008756
3853.4055651919916,89.0116528104207
3834.355141086504,91.03623699393226
3816.6650727856904,92.90048778085375
3804.5944574959576,94.16960923174534
3789.9170430032536,95.64979050446233
3778.329039520584,96.78071294021174
3764.8970791762695,98.05541856288484
3750.8329772185534,99.3393532427514
3736.7153678275645,100.66107061652127
3722.6853987276554,101.98719371037409
3709.8996412195265,103.14165378714068
3695.001929785125,104.56526241971062
3680.102950672619,105.90788345361844
3663.979180905968,107.32228386141774
3649.7991640446708,108.50835247016474
3634.647971002385,109.88206757958162
3618.708361621946,111.2343492392637
3602.576957142912,112.58059640802234
3586.783944751136,113.94381689671626
3571.3306782180443,115.23609496020651
3553.13045881968,116.73033805148587
3537.04388228897,118.05330206818098
3521.074748303741,119.3429243276121
3503.9010452749208,120.72984518780993
3486.089300777763,122.0536071795808
3469.240202636458,123.31575434628392
3450.495476103388,124.69958797428622
3433.420767677948,126.04342752575988
3416.920715626329,127.29989253639833
3399.888846712187,128.58797999964474
3381.6044703414664,129.8507120129911
3363.1435179989785,131.15503370833835
3342.4295326983556,132.606774418799
3322.907553180121,133.98122577180882
3306.1501367669553,135.17632262006464
3286.3971072081476,136.51475039660048
3267.911038919352,137.73183539533636
3248.311882695183,139.07576452788203
3227.146918484941,140.5084277951426
3207.4647276364267,141.84916392604762
3188.4783992012963,143.0512201760434
3167.2465914329514,144.33032297958604
3147.8245063778013,145.6053539296367
3127.2899467302486,146.91559069546273
3105.9718803633004,148.3039308192165
3085.221522178501,149.62237312597728
3062.942450034432,150.9736538682875
3043.2909295205027,152.17458008921767
3019.9554629549384,153.6252104665689
2999.7155544133857,154.8550880687243
2976.163709586486,156.23241773398067
2954.2191844061017,157.5190548240295
2932.7884066961706,158.74180312908612
2910.405619618483,160.08223242059353
2886.810109592043,161.43774417123683
2864.907656427473,162.67933562155375
2841.266987762414,164.0407195272504
2820.2309072464705,165.26156774528994
2795.9375089807436,166.62307240876098
2772.2080592233688,167.9663679534534
2746.8552085720003,169.3053800497838
2723.6969146467745,170.66185256166656
2701.959173914045,171.79742571156677
2676.7845500558615,173.13477759331775
2652.932867553085,174.39926330916197
2628.879755084403,175.6898701522837
2603.8568604718894,176.9749083055579
2578.3629509489983,178.29208674292641
2552.091208248399,179.6736256588192
2526.074745334685,181.0126508554041
2501.2297233771533,182.24379381916512
2477.127368150279,183.46122248950434
2450.1595302848145,184.84403755307636
2422.651323787868,186.17550373383088
2396.1227465607226,187.42866902364005
2370.2874539298937,188.70567336418813
2348.479823465459,189.75432939379516
2321.5028137834743,191.0555135929965
2294.044134542346,192.29425979662017
2266.262618658133,193.58536245318834
2239.3941415781155,194.797248468975
2213.877729738131,195.98156349299924
2181.6285739233717,197.47865320945942
2157.115491773933,198.532277034447
2126.9579336568713,199.88888273902904
2099.808131606318,201.1189226612258
2071.6558324843645,202.3522766812174
2045.0266834311187,203.52375709228275
2018.9048833046108,204.66063634609893
1989.427896910347,206.0033266751929
1962.1680479655042,207.2083531995632
1932.3811247386038,208.56312098261486
1902.5698166033253,209.87717349449
1876.115441441536,211.03548746229353
1848.5221195407212,212.21291620834327
1816.4325411152095,213.60035123661677
1787.9725379412994,214.80233505420202
1756.7241103975102,216.1185580432436
1728.2673585610464,217.32757354358188
1697.0396586814895,218.61142168561236
1667.1904088342562,219.86099186361574
1636.1858629910275,221.16823946372267
1605.1160863908008,222.4033029257031
1575.9948003981262,223.556893545204
1544.4027628814802,224.74916365789863
1512.69164846465,226.03684371453824
1482.4789175605401,227.2584226252785
1452.5474883168936,228.4513115746714
1420.589872228913,229.72183484813704
1389.0619210777804,230.900735289422
1360.5728270942345,231.99432480785492
1329.8802027776837,233.1608926914601
1295.4643026720732,234.43462402540493
1263.8898626118898,235.66999938628177
1231.5516572389752,236.9086529284836
1199.1714146509767,238.0972937613364
1167.1915190462023,239.30702582371038
1131.9215905927122,240.62718668984164
1098.0055094119161,241.89027009662334
1065.4551872955635,243.0502827799547
1031.573546230793,244.1977322646684
998.1856942828745,245.4507446538219
960.3100960534066,246.83327246402482
930.8312983699143,247.88063657857566
895.3951039034873,249.1333045992286
860.5147535521537,250.3655226184855
828.5360892731696,251.47213958516747
791.8144732434303,252.7120531192595
757.3832837110385,253.91315890804535
723.6174938678741,255.10007787608262
686.5320592010394,256.4085819873718
652.7373356306925,257.6131396983092
618.9703604076058,258.7560559355439
582.2865535682067,259.99730043426706
547.973660716787,261.1318435522
512.7180015668273,262.2347544642173
475.732825063169,263.43004528757444
440.6147039886564,264.623703714188
405.45652226079255,265.7957265773314
365.0134028112516,267.16917870861954
329.05097794067115,268.32626675885854
293.6150772124529,269.42696855523127
257.4240224659443,270.495372195646
219.65380077715963,271.61630464451804
183.27284271735698,272.7824335431764
