Altitude (m),Airspeed (m/s)
4251.184326524846,265.49508768235154
4164.911586938426,246.49816392302455
4133.369338609278,242.635041120716
4104.361079758033,241.03760679219673
4074.5946863889694,245.15516531196369
4045.2437953781337,249.335379399668
4016.1129101393744,250.0699373594957
3987.316595929675,250.16871126305938
3955.8929000096396,251.37293986637786
3922.72318163421,248.98177298759052
3888.621813119389,245.22418414972856
3857.6416425118223,244.0623326359908
3827.466780498624,250.8506737286511
3791.7674386994913,254.97731510591288
3761.8129879944026,253.71034644792584
3731.088841061108,251.87905968684876
3696.473542756401,252.19146988595134
3659.8776691928506,252.98216864509928
3627.252864149399,257.1423752355722
3590.383525260724,258.34296356391127
3554.6842459999025,259.0150710512514
3520.3036576882005,258.29608594989105
3487.4101250935346,255.3118116732516
3451.0808794358745,255.5653067230657
3417.407041111961,255.13885634937483
3381.1222878256813,257.1500778248939
3346.599687134847,260.7381075992485
3309.7887289691716,262.20868332603084
3277.609354431741,264.61549202367996
3242.6997112790123,262.93512605163664
3208.66122693941,259.92843717800554
3173.739428971894,258.8174323860189
3135.1798989214003,259.3000567042598
3098.6982644572854,260.92173868511725
3066.430338360369,260.7435909248238
3031.4140558429062,261.5836067728006
2995.431435648352,262.0255568431815
2959.1279779300094,260.87908142667294
2924.067088655196,261.2604382473486
2886.5911004683003,260.70522001773094
2849.964758965187,261.31093757219355
2813.9530480075628,261.0806053697892
2775.7798689147457,262.1305550771748
2737.898941570893,263.287872764064
2700.540847645141,264.8439384560047
2664.847065241076,267.25425967320365
2625.5219890186563,268.6318030123722
2590.699175208807,270.04250931350697
2553.2949617942795,270.1025225067102
2521.0637726653367,270.51424582607996
2481.4558325577527,269.36481566908344
2445.6830271994695,268.3906408877049
2408.41971180588,268.6667788409983
2371.408554385416,269.24181445527745
2329.6235398380086,269.8699792004874
2281.7959380820394,269.1214985464346
2241.7171971946955,268.41735278984163
2200.3593039922416,268.44702239673364
2160.7283280109987,268.7339543782342
2117.3838259018958,269.0871660605835
2076.003619252704,269.3687714472475
2033.3600226584822,269.7242604032306
1995.9134223908186,269.8738778986023
1963.7730300221592,270.0069025010728
1926.3968056971207,270.201574875923
1892.0548426397145,270.42662057341647
1854.0582421151921,270.5897440107247
1816.4350656652823,270.7705057573785
1778.9623037567362,271.35281662829277
1747.0414527645335,271.9052526689804
1708.2189612714574,272.3335965631061
1674.759178594686,272.18813629910096
1637.1530246520415,271.1483085995127
1600.8848512386903,270.40802764313554
1564.5835778703913,269.4066718580297
1532.042897365056,269.0957837342973
1493.2000199602917,269.7149732944071
1457.9774618446827,270.17339765871066
1421.0761534711346,270.6805177882381
1382.0150196859613,268.3856012676341
1348.9247812507674,269.0239683359972
1309.771171280183,270.48622640897577
1273.9006207147613,272.6370564663953
1241.1150430496782,273.6772275429337
1207.73249896802,271.4903226277526
1167.9073406038806,271.18715366978284
1132.1839226959273,270.5418040499843
1094.0883741844445,271.9538499142681
1057.1875831577927,273.4801458683475
1017.7979257237166,274.8683777993024
985.2480063615367,275.13370720755404
946.7562570050359,273.27382131154513
914.7893727878109,271.03376956218955
879.2983839483932,269.11730102419483
843.8839791473001,269.31662720619124
805.7528102127835,271.9946713007969
769.6570340497419,273.88998503790503
730.6251093400642,275.1674993813094
699.880305624567,274.9335973504297
661.4211557433009,271.85580914937344
624.0469527672976,270.5014039043424
590.4098079558462,267.6243394457267
557.1664192005992,267.46808917363757
519.9649263266474,270.13411983752616
481.9541184287518,272.5745515250898
444.00243353191763,275.2491178044532
406.2671469580382,273.42858326092903
370.1046439865604,271.73011415358434
333.19921209011227,269.99662304631914
296.3518277518451,271.0717941051808
261.2594305211678,274.83824408881935
229.4308368070051,276.4514328027545
190.7514081336558,275.60945027009916
