Time,Dynamic Press,Load 1,Load 2,Load 3
0,46090,0,0,0
101,46100,0,0,0
202,46031,0,0,0
305,46050,0,0,0
406,46109,0,0,0
507,46057,0,0,0
609,46060,0,0,0
710,46103,0,0,0
813,46077,0,0,0
914,46058,0,0,0
1015,46101,0,0,0
1117,46078,0,0,0
1219,46039,0,0,0
1320,46073,0,0,0
1422,46033,0,0,0
1524,46069,0,0,0
1626,46115,0,0,0
1727,46134,0,0,0
1828,46145,0,0,0
1931,46127,0,0,0
2032,46075,0,0,0
2134,46029,0,0,0
2236,46057,0,0,0
2337,46073,0,0,0
2439,46072,0,0,0
2540,46042,0,0,0
2642,46045,0,0,0
2744,46078,0,0,0
2845,46027,0,0,0
2948,46024,0,0,0
3150,45994,0,0,0
3252,46049,0,0,0
3354,46036,0,0,0
3456,46066,0,0,0
3557,46079,0,0,0
3659,46004,0,0,0
3761,45975,0,0,0
3862,46087,0,0,0
3963,45950,0,0,0
4066,46012,0,0,0
4167,45978,0,0,0
4269,45986,0,0,0
4370,46010,0,0,0
4472,46002,0,0,0
4574,46010,0,0,0
4675,46153,0,0,0
4777,46092,0,0,0
4879,46072,0,0,0
4980,46061,0,0,0
5082,46005,0,0,0
5184,46026,0,0,0
5285,46022,0,0,0
5387,46132,0,0,0
5489,46065,0,0,0
5591,46040,0,0,0
5692,46055,0,0,0
5793,46039,0,0,0
5896,46014,0,0,0
5997,46111,0,0,0
6098,46061,0,0,0
6201,46072,0,0,0
6302,46079,0,0,0
6404,46118,0,0,0
6505,46139,0,0,0
6607,46105,0,0,0
6709,46049,0,0,0
6810,46020,0,0,0
6913,46226,0,0,0
7014,46189,0,0,0
7115,46124,0,0,0
7217,46079,0,0,0
7319,46071,0,0,0
7420,46041,0,0,0
7522,46054,0,0,0
7624,46029,0,0,0
7726,46023,0,0,0
7827,46076,0,0,0
7928,46049,0,0,0
8031,46067,0,0,0
8132,46034,0,0,0
8233,46126,0,0,0
8335,46111,0,0,0
8437,46025,0,0,0
8539,46051,0,0,0
8640,46055,0,0,0
8742,46120,0,0,0
8844,46083,0,0,0
8945,46068,0,0,0
9047,46026,0,0,0
9149,46042,0,0,0
9250,46051,0,0,0
9352,46030,0,0,0
9454,46036,0,0,0
9555,46197,0,0,0
9657,46193,0,0,0
9758,46045,0,0,0
9861,46064,0,0,0
9962,46094,0,0,0
10063,46108,0,0,0
10166,46100,0,0,0
10267,46060,0,0,0
10369,46049,0,0,0
10471,46040,0,0,0
10572,46092,0,0,0
10674,46021,0,0,0
10776,46148,0,0,0
10877,46164,0,0,0
10979,46105,0,0,0
11081,46094,0,0,0
11183,46055,0,0,0
11284,46081,0,0,0
11385,46013,0,0,0
11488,46003,0,0,0
11589,46128,0,0,0
11691,46075,0,0,0
11793,46031,0,0,0
11894,46023,0,0,0
11996,46063,0,0,0
12098,46044,0,0,0
12199,46001,0,0,0
12301,46008,0,0,0
12403,46018,0,0,0
12505,46095,0,0,0
12606,46148,0,0,0
12708,46109,0,0,0
12810,46022,0,0,0
12911,46133,0,0,0
13014,46116,0,0,0
13115,46026,0,0,0
13216,45982,0,0,0
13319,46069,0,0,0
13420,46192,0,0,0
13521,46086,0,0,0
13624,46066,0,0,0
13725,46113,0,0,0
13827,46119,0,0,0
13929,46032,0,0,0
14030,46102,0,0,0
14132,46104,0,0,0
14234,46040,0,0,0
14336,46128,0,0,0
14437,46067,0,0,0
14539,46018,0,0,0
14641,45984,0,0,0
14742,46081,0,0,0
14843,46160,0,0,0
14946,46105,0,0,0
15047,46102,0,0,0
15149,46215,0,0,0
15251,46166,0,0,0
15352,46122,0,0,0
15454,46051,0,0,0
15556,46040,0,0,0
15657,46064,0,0,0
15759,46053,0,0,0
15861,46018,0,0,0
15963,46032,0,0,0
16064,46046,0,0,0
16166,46086,0,0,0
16268,46111,0,0,0
16369,46086,0,0,0
16472,46053,0,0,0
16573,46072,0,0,0
16674,46138,0,0,0
16777,46102,0,0,0
16878,46087,0,0,0
16979,46012,0,0,0
17082,46014,0,0,0
17183,46143,0,0,0
17285,46100,0,0,0
17387,46066,0,0,0
17488,46140,0,0,0
17590,46067,0,0,0
17692,46065,0,0,0
17794,46142,0,0,0
17895,46108,0,0,0
17997,46042,0,0,0
18099,46080,0,0,0
18200,46131,0,0,0
18301,46141,0,0,0
18404,46157,0,0,0
18505,46107,0,0,0
18607,46058,0,0,0
18709,46022,0,0,0
18810,46071,0,0,0
18912,46093,0,0,0
19014,46075,0,0,0
19116,46083,0,0,0
19217,46071,0,0,0
19319,46082,0,0,0
19421,46073,0,0,0
19522,46111,0,0,0
19624,46163,0,0,0
19726,46144,0,0,0
19827,46216,0,0,0
19930,46108,0,0,0
20031,46025,0,0,0
20132,46050,0,0,0
20235,46081,0,0,0
20336,46110,0,0,0
20438,46103,0,0,0
20540,46103,0,0,0
20641,46132,0,0,0
20743,46081,0,0,0
20845,46108,0,0,0
20946,46076,0,0,0
21048,46150,0,0,0
21150,46090,0,0,0
21252,46077,0,0,0
21353,46038,0,0,0
21455,46007,0,0,0
21557,46049,0,0,0
21658,46075,0,0,0
21761,46034,0,0,0
21862,46033,0,0,0
21963,46047,0,0,0
22065,46119,0,0,0
22167,46082,0,0,0
22268,46062,0,0,0
22370,46034,0,0,0
22472,46097,0,0,0
22574,46066,0,0,0
22675,46011,0,0,0
22777,46056,0,0,0
22879,46052,0,0,0
22980,46053,0,0,0
23083,46056,0,0,0
23184,46081,0,0,0
23285,46085,0,0,0
23388,46067,0,0,0
23489,45982,0,0,0
23590,46052,0,0,0
23693,46096,0,0,0
23794,46119,0,0,0
23896,46150,0,0,0
23998,46153,0,0,0
24099,46069,0,0,0
24201,46102,0,0,0
24303,46039,0,0,0
24404,46052,0,0,0
24506,46073,0,0,0
24608,46096,0,0,0
24710,46099,0,0,0
24811,46110,0,0,0
24913,46115,0,0,0
25015,46040,0,0,0
25116,46067,0,0,0
25219,46061,0,0,0
25320,46097,0,0,0
25421,46127,0,0,0
25524,46016,0,0,0
25625,46036,0,0,0
25726,46050,0,0,0
25829,46096,0,0,0
25930,46099,0,0,0
26032,46151,0,0,0
26133,46121,0,0,0
26235,46121,0,0,0
26337,46091,0,0,0
26438,46099,0,0,0
26541,46105,0,0,0
26642,46119,0,0,0
26743,46127,0,0,0
26846,46082,0,0,0
26947,46115,0,0,0
27048,46051,0,0,0
27151,46087,0,0,0
27252,46116,0,0,0
27354,46162,0,0,0
27456,46200,0,0,0
27557,46136,0,0,0
27659,46114,0,0,0
27761,46013,0,0,0
27863,46074,0,0,0
27964,46049,0,0,0
28066,46053,0,0,0
28168,46056,0,0,0
28269,46134,0,0,0
28371,46077,0,0,0
28473,46066,0,0,0
28574,46115,0,0,0
28677,46088,0,0,0
28778,46124,0,0,0
28879,46111,0,0,0
28982,46095,0,0,0
29083,46098,0,0,0
29185,46096,0,0,0
29287,46066,0,0,0
29388,46065,0,0,0
29490,46080,0,0,0
29591,46116,0,0,0
29693,46147,0,0,0
29795,46199,0,0,0
29896,46115,0,0,0
29999,46106,0,0,0
30100,46122,0,0,0
30201,46134,0,0,0
30304,46102,0,0,0
30405,46069,0,0,0
30507,46094,0,0,0
30609,46011,0,0,0
30812,46057,0,0,0
30913,46124,0,0,0
31015,46099,0,0,0
31117,46095,0,0,0
31218,46141,0,0,0
31321,46048,0,0,0
31422,46105,0,0,0
31523,46046,0,0,0
31626,46088,0,0,0
31727,46169,0,0,0
31828,46124,0,0,0
31930,46074,0,0,0
32032,46129,0,0,0
32134,46187,0,0,0
32235,46115,0,0,0
32337,46018,0,0,0
32439,46073,0,0,0
32540,46179,0,0,0
32643,46112,0,0,0
32744,46120,0,0,0
32845,46109,0,0,0
32948,46131,0,0,0
33049,46155,0,0,0
33150,46114,0,0,0
33253,46101,0,0,0
33354,46159,0,0,0
33456,46080,0,0,0
33558,46092,0,0,0
33659,46088,0,0,0
33761,46083,0,0,0
33863,46108,0,0,0
33965,46095,0,0,0
34066,46112,0,0,0
34168,46166,0,0,0
34270,46136,0,0,0
34371,46139,0,0,0
34473,46043,0,0,0
34575,46032,0,0,0
34676,46090,0,0,0
34779,46039,0,0,0
34880,45988,0,0,0
34981,46016,0,0,0
35084,46071,0,0,0
35185,46084,0,0,0
35287,46169,0,0,0
35389,46168,0,0,0
35490,46104,0,0,0
35592,46108,0,0,0
35693,46165,0,0,0
35795,46084,0,0,0
35897,46167,0,0,0
35998,46161,0,0,0
36101,46081,0,0,0
36202,46073,0,0,0
36303,46104,0,0,0
36406,46159,0,0,0
36507,46129,0,0,0
36609,46074,0,0,0
36711,46029,0,0,0
36812,46096,0,0,0
36914,46125,0,0,0
37016,46028,0,0,0
37117,46102,0,0,0
37219,46136,0,0,0
37321,46098,0,0,0
37423,46060,0,0,0
37524,46099,0,0,0
37626,46135,0,0,0
37728,46053,0,0,0
37829,46048,0,0,0
37932,46039,0,0,0
38033,46120,0,0,0
38134,46168,0,0,0
38237,46169,0,0,0
38338,46159,0,0,0
38439,46119,0,0,0
38542,46055,0,0,0
38643,46020,0,0,0
38745,45998,0,0,0
38847,46191,0,0,0
38948,46088,0,0,0
39050,46124,0,0,0
39152,46058,0,0,0
39254,45998,0,0,0
39355,46086,0,0,0
39456,46063,0,0,0
39559,46177,0,0,0
39660,46174,0,0,0
39761,46094,0,0,0
39864,46047,0,0,0
39965,46024,0,0,0
40067,46124,0,0,0
40169,46099,0,0,0
40270,46099,0,0,0
40372,46099,0,0,0
40474,46031,0,0,0
40576,46133,0,0,0
40677,46178,0,0,0
40779,46116,0,0,0
40881,46106,0,0,0
40982,46095,0,0,0
41084,46118,0,0,0
41186,46113,0,0,0
41287,46193,0,0,0
41390,46142,0,0,0
41491,46132,0,0,0
41592,45996,0,0,0
41695,46000,0,0,0
41796,46116,0,0,0
41897,46094,0,0,0
42000,46120,0,0,0
42101,46168,0,0,0
42203,46178,0,0,0
42305,46085,0,0,0
42406,46025,0,0,0
42508,46064,0,0,0
42610,46147,0,0,0
42712,46102,0,0,0
42813,46168,0,0,0
42914,46146,0,0,0
43017,46048,0,0,0
43118,46092,0,0,0
43219,46094,0,0,0
43322,46147,0,0,0
43423,46138,0,0,0
43525,46079,0,0,0
43627,46074,0,0,0
43728,46108,0,0,0
43830,46166,0,0,0
43932,46127,0,0,0
44034,46050,0,0,0
44135,46111,0,0,0
44237,46077,0,0,0
44339,46134,0,0,0
44440,46098,0,0,0
44542,46131,0,0,0
44644,46132,0,0,0
44745,46084,0,0,0
44848,46136,0,0,0
44949,46195,0,0,0
45050,46156,0,0,0
45153,46074,0,0,0
45254,46061,0,0,0
45356,46110,0,0,0
45458,46149,0,0,0
45559,46083,0,0,0
45661,46096,0,0,0
45763,46039,0,0,0
45864,46029,0,0,0
45966,46029,0,0,0
46068,46127,0,0,0
46170,46150,0,0,0
46271,46074,0,0,0
46373,46057,0,0,0
46475,45967,0,0,0
46576,45995,0,0,0
46679,46076,0,0,0
46780,46055,0,0,0
46881,46031,0,0,0
46983,46036,0,0,0
47085,46076,0,0,0
47186,46060,0,0,0
47288,46040,0,0,0
47390,46107,0,0,0
47492,46147,0,0,0
47593,46206,0,0,0
47695,46082,0,0,0
47797,46048,0,0,0
47898,46202,0,0,0
48001,46136,0,0,0
48102,46098,0,0,0
48203,46088,0,0,0
48306,46066,0,0,0
48407,46060,0,0,0
48508,46121,0,0,0
48611,46057,0,0,0
48712,46062,0,0,0
48814,46019,0,0,0
48916,46062,0,0,0
49017,46109,0,0,0
49119,46099,0,0,0
49221,46069,0,0,0
49323,46086,0,0,0
49424,46079,0,0,0
49526,46040,0,0,0
49628,46110,0,0,0
49729,46047,0,0,0
49831,46063,0,0,0
49933,46085,0,0,0
50034,46042,0,0,0
50137,46066,0,0,0
50238,46119,0,0,0
50339,46162,0,0,0
50442,46108,0,0,0
50543,46109,0,0,0
50644,46222,0,0,0
50746,46117,0,0,0
50848,46069,0,0,0
50950,46120,0,0,0
51051,46094,0,0,0
51153,46037,0,0,0
51255,46155,0,0,0
51356,46082,0,0,0
51459,46098,0,0,0
51560,46124,0,0,0
51661,46065,0,0,0
51764,45993,0,0,0
51865,45975,0,0,0
51966,46065,0,0,0
52069,46137,0,0,0
52170,46174,0,0,0
52272,46162,0,0,0
52374,46074,0,0,0
52475,46124,0,0,0
52577,46120,0,0,0
52679,46066,0,0,0
52781,46139,0,0,0
52882,46186,0,0,0
52984,46079,0,0,0
53086,46158,0,0,0
53187,46117,0,0,0
53289,46071,0,0,0
53391,46032,0,0,0
53492,46088,0,0,0
53595,46086,0,0,0
53696,46105,0,0,0
53797,45978,0,0,0
53900,46017,0,0,0
54001,46104,0,0,0
54103,46059,0,0,0
54205,46009,0,0,0
54306,46041,0,0,0
54408,46163,0,0,0
54509,46109,0,0,0
54611,46017,0,0,0
54713,46155,0,0,0
54814,46175,0,0,0
54917,46134,0,0,0
55018,46097,0,0,0
55119,46060,0,0,0
55222,45986,0,0,0
55323,46006,0,0,0
55425,46006,0,0,0
55527,46025,0,0,0
55628,46108,0,0,0
55730,46148,0,0,0
55832,46140,0,0,0
